customer_id,order_date,revenue
1,2023-12-15,116.31
1,2023-01-21,81.54
2,2023-08-03,147.38
3,2023-09-15,123.02
4,2023-10-21,143.87
4,2023-09-10,146.16
4,2023-08-24,100.67
5,2023-07-07,87.17
5,2023-09-28,143.97
6,2023-02-24,93.23
7,2023-05-11,112.51
7,2023-11-25,124.97
7,2023-06-16,39.2
7,2023-12-12,133.58
7,2023-02-22,77.53
7,2023-09-21,76.65
7,2023-02-04,93.12
7,2023-12-26,111.68
7,2023-01-02,58.66
7,2023-09-17,89.41
7,2023-11-06,34.65
7,2023-09-27,68.68
7,2023-12-17,69.73
7,2023-12-04,52.5
7,2023-02-22,113.82
7,2023-07-07,102.58
7,2023-02-10,74.7
7,2023-12-11,84.6
7,2023-11-23,43.73
7,2023-05-16,59.0
8,2023-05-19,119.09
9,2023-09-18,72.8
9,2023-08-19,119.87
9,2023-07-20,107.23
9,2023-11-24,73.11
9,2023-03-03,96.64
10,2023-04-09,52.78
10,2023-02-04,119.14
11,2023-04-11,71.99
11,2023-12-25,123.53
12,2023-07-26,88.04
13,2023-03-04,98.17
14,2023-08-29,102.75
14,2023-08-10,40.37
14,2023-08-19,144.34
14,2023-02-05,84.45
14,2023-01-13,93.64
15,2023-03-07,87.19
16,2023-03-03,127.46
16,2023-01-28,109.86
16,2023-04-18,141.16
17,2023-08-19,105.27
17,2023-07-09,92.3
17,2023-05-01,88.97
17,2023-04-26,59.52
17,2023-07-17,69.43
18,2023-05-17,158.35
18,2023-08-22,95.4
19,2023-11-11,106.45
19,2023-08-21,39.33
20,2023-11-14,99.44
20,2023-04-23,49.79
21,2023-03-22,86.75
22,2023-05-06,97.48
22,2023-05-10,25.04
23,2023-09-04,144.41
23,2023-11-20,93.57
23,2023-09-12,79.32
24,2023-11-21,142.16
24,2023-08-28,141.77
24,2023-05-24,85.2
24,2023-11-22,127.69
24,2023-12-15,87.51
25,2023-12-12,125.73
26,2023-05-27,78.39
26,2023-05-08,91.9
27,2023-12-26,88.35
27,2023-05-31,73.43
28,2023-10-25,124.41
28,2023-12-12,63.07
29,2023-03-01,101.88
29,2023-06-09,115.05
29,2023-01-09,128.94
29,2023-07-27,68.06
29,2023-05-11,91.44
29,2023-06-10,131.96
29,2023-04-26,106.79
29,2023-08-15,125.42
29,2023-04-22,108.79
29,2023-12-15,78.57
29,2023-12-04,13.62
29,2023-06-18,75.9
29,2023-06-10,99.85
29,2023-10-31,88.5
29,2023-05-15,71.2
29,2023-06-25,133.15
29,2023-01-22,126.36
29,2023-10-10,92.81
29,2023-01-27,100.39
29,2023-10-11,143.61
30,2023-11-13,183.52
30,2023-07-11,99.06
30,2023-02-18,46.5
31,2023-08-21,92.71
31,2023-02-06,96.28
31,2023-06-30,122.21
31,2023-04-05,74.6
31,2023-06-10,54.55
32,2023-05-08,59.76
32,2023-02-23,51.35
33,2023-12-26,65.57
33,2023-05-07,141.69
33,2023-06-04,69.24
34,2023-10-26,64.51
34,2023-09-03,58.67
34,2023-09-04,71.87
34,2023-01-26,109.13
34,2023-01-13,107.72
35,2023-11-09,64.5
36,2023-05-22,114.85
37,2023-05-23,76.82
37,2023-08-03,92.9
37,2023-12-08,72.6
37,2023-07-09,86.35
37,2023-05-05,104.5
38,2023-06-19,104.23
39,2023-02-23,40.25
39,2023-09-21,112.78
39,2023-02-22,136.31
39,2023-12-16,95.46
39,2023-02-16,77.03
40,2023-05-04,112.67
41,2023-05-27,80.15
41,2023-04-02,125.57
41,2023-02-27,76.85
42,2023-01-01,149.84
43,2023-04-06,152.96
43,2023-08-25,112.15
44,2023-09-29,164.04
45,2023-12-15,106.81
45,2023-09-04,102.6
46,2023-03-27,82.21
47,2023-08-08,113.31
48,2023-08-06,123.24
48,2023-12-07,61.15
49,2023-01-23,96.85
49,2023-09-07,146.29
50,2023-08-11,139.7
51,2023-05-27,134.89
52,2023-01-04,100.31
52,2023-01-16,105.97
52,2023-06-09,81.99
53,2023-06-01,122.47
53,2023-02-02,154.27
53,2023-06-28,113.39
53,2023-03-06,134.09
53,2023-06-17,85.41
53,2023-09-21,106.23
53,2023-04-03,82.32
53,2023-07-15,125.49
53,2023-11-10,128.56
53,2023-08-05,143.58
54,2023-09-06,33.5
54,2023-07-11,141.69
54,2023-08-15,99.37
54,2023-04-06,103.52
54,2023-06-01,105.41
55,2023-07-02,132.13
56,2023-08-05,81.19
56,2023-03-03,59.74
56,2023-03-25,84.3
56,2023-07-06,128.47
56,2023-01-19,109.72
57,2023-12-05,96.1
57,2023-05-24,46.24
57,2023-01-25,86.6
57,2023-02-22,118.72
57,2023-04-19,118.85
57,2023-06-30,79.03
57,2023-08-11,99.74
57,2023-05-02,129.25
57,2023-08-23,95.59
57,2023-11-27,118.42
58,2023-01-07,140.74
59,2023-06-17,85.87
59,2023-06-14,106.96
60,2023-05-16,56.56
61,2023-11-23,57.78
61,2023-08-05,47.7
61,2023-09-09,132.08
61,2023-10-02,109.33
61,2023-04-01,144.26
62,2023-01-19,99.43
63,2023-08-08,69.92
64,2023-05-28,138.13
64,2023-12-14,123.13
64,2023-07-09,83.52
65,2023-04-27,26.22
66,2023-02-13,101.37
66,2023-10-30,111.68
66,2023-05-29,94.96
66,2023-05-27,108.56
66,2023-01-20,78.95
66,2023-01-01,70.99
66,2023-02-23,126.17
66,2023-01-12,105.5
66,2023-11-26,165.69
66,2023-01-08,75.75
67,2023-06-13,36.28
68,2023-08-08,84.23
68,2023-12-23,110.25
68,2023-07-31,156.29
69,2023-08-28,122.26
69,2023-01-10,144.3
69,2023-11-08,104.26
70,2023-10-16,131.11
71,2023-05-26,48.61
71,2023-12-08,140.62
71,2023-11-11,108.27
71,2023-04-08,108.36
71,2023-04-15,52.17
72,2023-01-06,82.02
73,2023-07-16,145.49
73,2023-06-14,109.37
73,2023-07-21,86.5
74,2023-01-01,118.69
74,2023-02-20,73.84
75,2023-10-15,79.87
75,2023-02-03,75.16
75,2023-06-03,90.88
75,2023-09-07,146.53
75,2023-11-02,103.47
76,2023-02-23,112.41
76,2023-09-12,140.26
76,2023-10-30,141.9
76,2023-03-07,88.3
76,2023-03-16,86.99
77,2023-10-21,89.73
78,2023-12-04,64.5
78,2023-11-04,38.82
78,2023-09-06,145.07
79,2023-09-04,102.22
79,2023-04-16,48.9
80,2023-02-03,98.33
80,2023-09-19,37.98
81,2023-08-28,97.33
81,2023-04-21,66.96
81,2023-07-03,114.63
82,2023-12-18,161.65
82,2023-03-02,90.42
83,2023-10-04,84.09
84,2023-11-22,76.21
85,2023-08-21,123.58
86,2023-08-06,91.39
87,2023-03-14,98.75
87,2023-08-02,73.0
87,2023-08-27,63.22
88,2023-12-03,101.25
88,2023-01-26,105.34
89,2023-02-25,101.07
89,2023-08-02,123.06
90,2023-12-31,76.59
90,2023-06-03,117.3
91,2023-08-27,109.34
91,2023-10-01,145.71
92,2023-04-29,26.3
93,2023-07-21,135.69
93,2023-03-27,106.7
94,2023-10-27,78.92
94,2023-01-25,64.2
95,2023-03-08,91.06
95,2023-08-16,165.19
95,2023-04-21,112.05
96,2023-08-24,149.41
96,2023-03-24,54.31
96,2023-06-29,65.92
97,2023-08-14,99.66
97,2023-08-17,50.86
97,2023-10-16,93.81
98,2023-11-14,31.66
98,2023-12-16,101.46
98,2023-02-09,75.07
98,2023-08-17,111.71
98,2023-01-04,97.45
99,2023-04-28,78.28
100,2023-07-13,84.02
100,2023-12-01,47.62
100,2023-06-22,178.5
101,2023-11-22,119.22
101,2023-05-20,75.56
